Date,Open,High,Low,Close,Volume
2021-04-22,364.0733594486216,367.02968999179166,357.14628219923856,359.5712280273437,237200
2021-04-23,366.2858518039655,374.0148280830586,364.46953766098585,367.8896179199219,416200
2021-04-26,367.40653837631714,377.8503146881269,366.4887106959736,376.33349609375,277900
2021-04-27,380.5553876769717,382.47799019151694,370.36281403708574,371.9569091796875,195100
2021-04-28,369.242180038392,369.242180038392,362.7111856978928,364.7303771972656,257600
2021-04-29,368.652772816478,371.80233956997137,355.68743373928845,358.5374755859375,290600
2021-04-30,352.94363788923107,359.6291845154093,346.6638459252394,349.1371154785156,327700
2021-05-03,349.9777524781157,353.0113902128528,337.50511185382504,338.41326904296875,541400
2021-05-04,331.9401331319522,333.756446932169,319.0907242862981,322.8006286621094,494900
2021-05-05,333.31208446201634,337.4567560285896,325.21597751914067,326.3753356933594,510000
2021-05-06,321.75730694176667,323.9986877678525,315.2552947057282,322.0857849121094,355800
2021-05-07,328.27854491004706,332.71304057222886,324.761847296255,331.1769104003906,295500
2021-05-10,325.7376770338877,329.3123105239212,308.79188994016346,310.9559936523437,486300
2021-05-11,303.4588880491336,314.2118292783248,299.50745310260805,309.5551147460937,611400
2021-05-12,303.806684363966,306.01911177000454,295.16955222082214,295.7299194335937,429900
2021-05-13,302.0096590077081,309.49710242296726,293.64304127919445,295.9520568847656,518000
2021-05-14,300.08712132005456,308.66628885575085,298.8408452470121,305.7969055175781,462200
2021-05-17,301.3431373934439,304.144885490421,295.4304750620245,301.71990966796875,382100
2021-05-18,304.59895414100305,307.97071060975736,298.75392762032567,298.91815185546875,326800
2021-05-19,292.7349816388761,310.2990734611194,291.3147810436561,308.9658203125,428200
2021-05-20,312.6371043394409,322.85866275574455,309.16872968400816,320.7235412597656,398000
2021-05-21,321.3901007307541,322.94554276952493,311.42938673624604,313.4485778808594,425500
2021-05-24,315.3325647381398,320.7524948513727,315.3325647381398,318.7236328125,261300
2021-05-25,320.7524850849772,323.44797356145915,318.1922678326959,320.12451171875,255100
2021-05-26,322.3756434916531,328.14339411324977,320.4530697790239,327.5444030761719,420200
2021-05-27,324.7232472331852,334.4714440377245,322.88762135273333,330.96441650390625,478900
2021-05-28,333.5246507483915,335.1187462124897,330.3847541285566,331.49578857421875,251700
2021-06-01,333.7468426850694,339.0218603282232,327.8051690474974,330.8388061523437,278800
2021-06-02,330.95473729651724,333.94972127864764,327.9114590097164,331.9884948730469,365100
2021-06-03,327.8824521428382,330.52961668986126,322.1436857505893,324.5589904785156,335700
2021-06-04,327.5153271619285,335.73703404257714,327.5153271619285,335.2732849121094,267700
2021-06-07,331.4281580701792,333.1671954536092,328.24963774808566,331.0320739746094,225700
2021-06-08,335.5148255208021,335.8336327875813,324.6459537159855,327.1868591308594,222100
2021-06-09,329.3992781294496,333.2927482606572,325.69901469067923,328.97418212890625,184800
2021-06-10,329.7374039132613,333.82411030365967,327.7375539197231,331.7662658691406,233500
2021-06-11,333.18649808827115,335.88198679381367,329.3799749505731,335.39892578125,220700
2021-06-14,336.3844149320633,341.0797840775953,333.82419704133434,339.87213134765625,254500
2021-06-15,338.2779584190101,340.14256673229426,332.9256344863064,333.70819091796875,197400
2021-06-16,333.6984432192296,337.0702281419549,328.9354701154042,332.0367126464844,280400
2021-06-17,331.2832715873992,346.7702081102112,331.2832715873992,344.0167541503906,367900
2021-06-18,340.81887924815123,345.03118689421655,338.2103672940511,341.96856689453125,625900
2021-06-21,341.20527588197683,343.2727613648641,337.59196001722097,342.1134033203125,236800
2021-06-22,341.7366638183594,343.20515859609367,337.7079222375785,341.7366638183594,213500
2021-06-23,341.7462778551295,343.0022244124075,337.93008491896546,338.21990966796875,490700
2021-06-24,341.59175006245965,348.0067845751788,340.3744269524116,347.1759338378906,198400
2021-06-25,349.8907951307224,355.165813720038,346.7025744024598,353.2915344238281,518800
2021-06-28,355.19470595997603,364.807630531844,355.19470595997603,361.7933349609375,298700
2021-06-29,361.7643292678466,366.4575462702224,357.7581513943699,365.1995544433594,239400
2021-06-30,364.93834717066807,366.36082697571294,359.7225780418296,361.3773193359375,234100
2021-07-01,364.0577010570368,364.0577010570368,356.22923510951654,358.21295166015625,376600
2021-07-02,361.9482001465702,364.4834971613144,359.71287921946254,364.1448059082031,223400
2021-07-06,364.2608937461827,371.7313254309316,362.95453017421056,371.0636291503906,541300
2021-07-07,374.7504935055712,374.7504935055712,359.49030982724764,364.735107421875,440300
2021-07-08,358.4355350216631,361.36758119437656,351.7005434277999,360.9418029785156,354000
2021-07-09,361.8707719005046,370.96688679222143,358.2420003055895,370.2314758300781,272100
2021-07-12,373.1829258916832,374.8086087443917,368.8283992662703,374.44091796875,340300
2021-07-13,372.2345545305555,376.1826449228503,369.5927982514421,374.9246826171875,328700
2021-07-14,377.70175264160105,383.5077848032248,369.00236103835033,370.4925842285156,572600
2021-07-15,370.299242637715,370.376643442826,361.4837309477785,367.2413940429688,529500
2021-07-16,368.7896162090258,371.7023195989049,366.3994937177121,367.1929626464844,852200
2021-07-19,362.180424163627,369.0121889352024,358.1258744510467,368.43157958984375,383600
2021-07-20,370.39592916809454,381.6015913487361,367.61871429062256,379.6759033203125,368500
2021-07-21,379.86943516683726,392.4394888754255,379.7146040553432,392.1975708007813,319300
2021-07-22,390.7847841684695,394.1038931216676,386.73992097897934,391.90728759765625,311800
2021-07-23,393.96850195933087,402.406607175852,391.4138324343102,400.8680114746094,292400
2021-07-26,397.9746113296948,403.81936080645136,396.1844410414407,399.5906372070313,335100
2021-07-27,398.0908529938857,398.0908529938857,382.7048347235422,394.0943603515625,515600
2021-07-28,396.7456536171331,418.04413096001696,392.0330941149848,417.0667724609375,581500
2021-07-29,415.34438760288106,426.72422554243656,414.1444831644455,425.8339538574219,798500
2021-07-30,421.53741594808434,436.4008783028307,419.9697914974114,434.7364807128906,462200
2021-08-02,437.2331960954059,442.8069998750112,435.8978031456234,439.76849365234375,497900
2021-08-03,442.0521360698318,445.1293273759863,432.4431557206601,441.78118896484375,286900
2021-08-04,443.048794091452,455.1350123677115,443.048794091452,451.3514099121094,231300
2021-08-05,452.2610565490096,455.52210789630897,444.761595255231,448.496826171875,362400
2021-08-06,443.5616231511583,447.8193752646668,440.8037512549152,446.86138916015625,218500
2021-08-09,446.8614554711232,449.34835114901176,439.6909992892537,444.90673828125,203500
2021-08-10,447.974321415309,447.974321415309,438.345967972072,443.5617370605469,255600
2021-08-11,444.5971359545479,445.8744411937834,436.25577431073833,444.3842468261719,187500
2021-08-12,441.3360377740202,448.3516630328906,435.8493515227298,447.3936767578125,270100
2021-08-13,445.9033886736036,452.9577280827892,445.5260118287994,449.8224792480469,168600
2021-08-16,447.16147664009776,449.9774072122463,439.4684683067316,443.7068786621094,263900
2021-08-17,439.1684761858228,440.6296710852285,428.9788861200336,438.0363159179688,332400
2021-08-18,438.18139340428456,447.9935755156991,434.4848780006658,443.1068420410156,336400
2021-08-19,438.5104044048661,457.0703529368871,437.8814232853836,452.1158752441406,274800
2021-08-20,454.0706487657051,462.18943547155885,452.4546521771289,460.7766418457031,356500
2021-08-23,462.9054835273603,470.9371828992835,462.6925943986823,469.4953308105469,388300
2021-08-24,471.41129895782296,475.4464764057485,468.8566295979984,469.6404418945313,240200
2021-08-25,469.4274861097531,475.1077472058648,461.2506730530629,467.64697265625,353700
2021-08-26,466.99868824234335,474.92392725698585,465.5858948611922,471.4693298339844,394700
2021-08-27,471.1693256830426,480.7492755986121,469.2533238875226,478.9590759277344,280100
2021-08-30,482.3459694218212,488.2390907108543,476.6560510652326,486.68115234375,233900
2021-08-31,487.81334067833245,487.81334067833245,476.95608422627583,478.93011474609375,390200
2021-09-01,482.3943925791783,485.33609550434926,478.19469777626574,480.0526123046875,256200
2021-09-02,483.7394559973461,487.7359479750832,480.9235255999744,481.9202270507813,297200
2021-09-03,481.7266429993026,487.4939617766081,480.4976802490487,485.8973083496094,244000
2021-09-07,484.9296992092433,489.468085358629,479.655872548514,481.2815551757813,308900
2021-09-08,479.443004147353,480.4590779815688,473.1434763117063,476.1529235839844,279400
2021-09-09,476.8205820956496,479.2687921223277,471.9144758682256,472.54345703125,438500
2021-09-10,478.0205315529502,488.81010361433897,474.3433878443746,478.049560546875,304700
2021-09-13,481.05906314936914,481.4654690860741,466.8729799152198,473.5596008300781,300400
2021-09-14,475.9786781249687,481.0589579398626,471.0822584182379,479.4429321289063,283800
2021-09-15,479.6074626676919,481.35894729929146,474.0917183324887,479.955810546875,392900
2021-09-16,475.2045489142493,484.5716401842228,474.7594278792004,482.7040100097656,411800
2021-09-17,480.0526063790913,487.1843473759352,472.8434645824432,481.4363708496094,811300
2021-09-20,471.2950959815829,474.1110257433656,464.6471924185448,472.8240051269531,500200
2021-09-21,476.2980135057276,479.9171282850912,469.87268426385566,476.7431640625,328300
2021-09-22,479.76229928068034,492.042064189688,477.2850603414197,491.50982666015625,339300
2021-09-23,491.5097801082236,504.8055879482177,487.9100380013281,501.0123291015625,374400
2021-09-24,501.8348594789291,504.54438932148,495.6514780200797,501.1768493652344,201300
2021-09-27,496.5127006416756,499.44477645691376,489.0810129912508,492.6807556152344,181000
2021-09-28,482.57819304843184,484.3683631980063,471.7112223705838,474.3432922363281,374900
2021-09-29,477.1724682806292,481.5323311558725,467.5807463013242,469.5184631347656,340300
2021-09-30,476.0581782085183,478.69347384604646,468.8789645547332,469.5862121582031,365500
2021-10-01,472.0568883038161,474.8568737014709,453.1253869119517,468.0361022949219,383800
2021-10-04,465.051970840557,467.755093699886,446.8568136641085,449.5599365234375,397700
2021-10-05,453.9488476826908,456.32253262845416,447.16684000815474,454.8886413574219,586700
2021-10-06,449.40496016584,455.07278753530574,445.907366080421,452.282470703125,249500
2021-10-07,458.1440831930877,464.1025566518439,457.1558582340904,457.4949645996094,221900
